Object,Maneuver,New Position
FENGYUN 1C DEB,[0.08671004 0.00884642 0.04902152],"[0.1959334472676519, 0.09834695739837024, -0.1271106181913527]"
FENGYUN 1C DEB,[0.03492595 0.08521028 0.0389793 ],"[0.23085940182711595, 0.183557237206539, -0.08813131710572725]"
FENGYUN 1C DEB,[ 0.04489779 -0.08674654 -0.02142955],"[0.27575719455583286, 0.0968106961700717, -0.10956087207772033]"
FENGYUN 1C DEB,[ 0.08172068  0.03087988 -0.04866378],"[0.3574778777103922, 0.12769057480299803, -0.15822464752073195]"
FENGYUN 1C DEB,[ 0.08529283  0.02752051 -0.04435939],"[0.4427707041635145, 0.1552110889824527, -0.20258403271638128]"
FENGYUN 1C DEB,[ 0.09451206 -0.00396503  0.03243069],"[0.5372827616111664, 0.15124605822713522, -0.17015334465520776]"
FENGYUN 1C DEB,[0.08300252 0.04665644 0.03055745],"[0.6202852862781918, 0.19790249691919154, -0.13959589666827305]"
FENGYUN 1C DEB,[ 0.0764869  -0.00378536 -0.06430727],"[0.6967721889456715, 0.19411713978816536, -0.2039031652444307]"
FENGYUN 1C DEB,[ 0.07106236  0.03483839 -0.06112633],"[0.7678345467299381, 0.2289555303833177, -0.2650294921983749]"
FENGYUN 1C DEB,[ 0.07890333  0.02115391 -0.05767821],"[0.8467378804801675, 0.25010943556987286, -0.32270770488269923]"
FENGYUN 1C DEB,[0.08939138 0.0444889  0.00546983],"[0.9361292612603193, 0.29459833256146334, -0.31723787063570624]"
FENGYUN 1C DEB,[0.08275401 0.05567629 0.00720585],"[1.0188832695218215, 0.35027462747006444, -0.3100320187148222]"
FENGYUN 1C DEB,[ 0.08876532  0.03898974 -0.02450547],"[1.1076485907071327, 0.38926436513251245, -0.33453748977501685]"
FENGYUN 1C DEB,[ 0.03129781  0.09442088 -0.01025396],"[1.13894640083944, 0.48368524971382815, -0.34479144685528096]"
FENGYUN 1C DEB,[ 0.08072336 -0.04361984 -0.03976241],"[1.2196697580368965, 0.44006541382713765, -0.38455386026279526]"
FENGYUN 1C DEB,[ 0.06735728  0.07100617 -0.02052124],"[1.2870270367543881, 0.5110715811329338, -0.4050750982448329]"
FENGYUN 1C DEB,[0.0913779  0.03916916 0.01076364],"[1.3784049400113232, 0.5502407377989971, -0.39431145748365776]"
FENGYUN 1C DEB,[ 0.05981068  0.04771332 -0.06439039],"[1.4382156171685834, 0.5979540533909132, -0.4587018481736995]"
FENGYUN 1C DEB,[ 0.0884324   0.04406663 -0.01542215],"[1.5266480177085953, 0.6420206844128192, -0.4741239934560561]"
FENGYUN 1C DEB,[ 0.08104745  0.00786181 -0.05804741],"[1.6076954714025116, 0.6498824899245854, -0.5321714073849096]"
FENGYUN 1C DEB,[ 0.08155702  0.04667287 -0.03420667],"[1.689252490276931, 0.6965553566678059, -0.566378076066428]"
FENGYUN 1C DEB,[ 0.08422427  0.04608651 -0.02796974],"[1.7734767599248422, 0.7426418634484152, -0.5943478149825635]"
FENGYUN 1C DEB,[ 0.00634602  0.09810718 -0.01829504],"[-0.03532526995174455, 0.05438076074658979, 0.2933958347574123]"
FENGYUN 1C DEB,[ 0.09912236  0.00330882 -0.01279878],"[0.06379709338087117, 0.057689584603448495, 0.280597054657684]"
FENGYUN 1C DEB,[0.05730391 0.00305781 0.08189574],"[0.12110100575139641, 0.0607473950187801, 0.3624927897267036]"
FENGYUN 1C DEB,[ 0.02794748 -0.09099048  0.03065406],"[0.14904848217843264, -0.03024308378847805, 0.3931468486387981]"
FENGYUN 1C DEB,[ 0.04178496 -0.005625    0.09067732],"[0.19083344015771356, -0.03586808665454147, 0.4838241701112948]"
FENGYUN 1C DEB,[-0.01802447  0.06728685 -0.07174677],"[0.1728089725052102, 0.031418759330170465, 0.41207740068385984]"
FENGYUN 1C DEB,[0.04509381 0.00584613 0.08906386],"[0.21790278303669264, 0.03726488901079906, 0.5011412599058138]"
FENGYUN 1C DEB,[ 0.08293394  0.04844937 -0.027832  ],"[0.3008367212544459, 0.0857142632869479, 0.47330926349981484]"
FENGYUN 1C DEB,[0.02329441 0.02105967 0.09494135],"[0.3241311358304509, 0.10677393429021491, 0.568250616485726]"
FENGYUN 1C DEB,[ 0.08445595 -0.05316696  0.00636138],"[0.40858708507983016, 0.053606975859343126, 0.574611997436135]"
FENGYUN 1C DEB,[ 0.09214265 -0.03289139  0.02068546],"[0.5007297388640323, 0.020715589514744573, 0.5952974526628158]"
FENGYUN 1C DEB,[0.08163357 0.02503377 0.05205065],"[0.5823633126456884, 0.04574935909842828, 0.6473481011896682]"
FENGYUN 1C DEB,[ 0.01907379  0.0771686  -0.06067287],"[0.6014371075937498, 0.12291795761119471, 0.5866752262795837]"
FENGYUN 1C DEB,[0.08429377 0.01302248 0.05220129],"[0.6857308781165719, 0.13594044073239664, 0.6388765211332923]"
FENGYUN 1C DEB,[ 0.09854206  0.01333697 -0.01056355],"[0.7842729338694736, 0.1492774059349583, 0.6283129702540818]"
FENGYUN 1C DEB,[0.08749573 0.01823123 0.04485666],"[0.8717686606701573, 0.16750863678830796, 0.6731696309990814]"
FENGYUN 1C DEB,[0.08718125 0.0154022  0.04649947],"[0.9589499156361753, 0.18291083473712177, 0.7196691049842325]"
FENGYUN 1C DEB,[ 0.09809351  0.01605624 -0.01094812],"[1.0570434211438227, 0.19896707260420993, 0.7087209817306035]"
FENGYUN 1C DEB,[0.06986603 0.00656072 0.07124391],"[1.1269094541467537, 0.20552779706320665, 0.7799648890280452]"
FENGYUN 1C DEB,[0.09070404 0.03199953 0.02736434],"[1.2176134946130839, 0.23752732380964536, 0.8073292331840136]"
FENGYUN 1C DEB,[ 0.09652472  0.02299882 -0.01241096],"[1.314138218198843, 0.2605261444703872, 0.7949182708962692]"
FENGYUN 1C DEB,[ 0.07919787 -0.01111836  0.06003398],"[1.3933360923677685, 0.249407788589465, 0.854952252020531]"
FENGYUN 1C DEB,[0.08242273 0.05059365 0.0254318 ],"[1.475758818984869, 0.3000014419351776, 0.880384050583287]"
FENGYUN 1C DEB,[0.05118384 0.00738926 0.0855898 ],"[1.5269426558997874, 0.30739070079295217, 0.9659738495794281]"
FENGYUN 1C DEB,[0.09049432 0.02351639 0.03546489],"[1.6174369714091812, 0.33090709382900313, 1.0014387352984073]"
FENGYUN 1C DEB,[0.09093771 0.01288663 0.03955083],"[1.7083746802412318, 0.34379372129257985, 1.0409895626600716]"
FENGYUN 1C DEB,[ 0.0704159  -0.07089245  0.00398269],"[-0.01078210807011526, -0.7256874448669303, 0.42962567792837214]"
FENGYUN 1C DEB,[ 0.00798674 -0.01678777  0.09825672],"[-0.002795370995832826, -0.7424752139325078, 0.527882396989753]"
FENGYUN 1C DEB,[ 0.00030385 -0.08418219  0.05397468],"[-0.0024915248265602627, -0.8266574061034287, 0.5818570780800899]"
FENGYUN 1C DEB,[-0.04889077 -0.07269186 -0.04822433],"[-0.05138229140591546, -0.8993492658846285, 0.5336327433015425]"
FENGYUN 1C DEB,[ 0.05417044 -0.07978525 -0.02645517],"[0.0027881522382842625, -0.9791345203253099, 0.5071775697200611]"
FENGYUN 1C DEB,[ 0.08411701 -0.03679144  0.03963228],"[0.08690516678709181, -1.0159259625770907, 0.5468098500030525]"
FENGYUN 1C DEB,[ 0.00076828 -0.09718367  0.02355302],"[0.08767345163295204, -1.1131096291222207, 0.5703628688167965]"
FENGYUN 1C DEB,[-0.02924879 -0.07006387  0.0650812 ],"[0.058424657003155286, -1.1831734960833948, 0.635444068553363]"
FENGYUN 1C DEB,[-0.02529842 -0.09610004 -0.01117014],"[0.0331262395106566, -1.2792735383264315, 0.6242739318817819]"
FENGYUN 1C DEB,[-0.04487192 -0.07887929  0.04200676],"[-0.011745682383539416, -1.3581528328810795, 0.6662806874823073]"
FENGYUN 1C DEB,[ 0.04825824 -0.05669687  0.06675783],"[0.03651255515375677, -1.4148497033355585, 0.7330385139183284]"
FENGYUN 1C DEB,[-0.03481758 -0.08611891  0.03703065],"[0.0016949757037788837, -1.5009686144399412, 0.7700691675911967]"
FENGYUN 1C DEB,[ 0.00450798 -0.06475482  0.07606899],"[0.006202952870652016, -1.565723439018905, 0.8461381549356499]"
FENGYUN 1C DEB,[-0.04177664 -0.07289304  0.05423391],"[-0.03557368400104787, -1.638616482339303, 0.9003720635831068]"
FENGYUN 1C DEB,[ 0.03450723 -0.0828525   0.04409891],"[-0.0010664541954488738, -1.7214689829018643, 0.9444709778744402]"
FENGYUN 1C DEB,[-0.01458934 -0.09892776 -0.00067074],"[-0.7761172898273656, -0.06878851636504663, 0.3864931243827486]"
FENGYUN 1C DEB,[-0.02957024 -0.01015772  0.09498643],"[-0.8056875289433069, -0.07894623982845918, 0.4814795529537128]"
FENGYUN 1C DEB,[-0.08812276 -0.00765333  0.04664552],"[-0.8938102936066641, -0.0865995728768249, 0.5281250762259128]"
FENGYUN 1C DEB,[-0.02639544  0.02825409  0.09222249],"[-0.9202057349723805, -0.058345479881849016, 0.6203475621181305]"
FENGYUN 1C DEB,[-0.08531464  0.04927935 -0.01711601],"[-1.0055203747813628, -0.009066127926854142, 0.603231554839581]"
FENGYUN 1C DEB,[-0.09049489 -0.04193676  0.00720994],"[-1.0960152615769365, -0.05100289243208822, 0.6104414956638065]"
FENGYUN 1C DEB,[-0.08488587 -0.04540592 -0.02706826],"[-1.1809011341158786, -0.09640881379221933, 0.5833732310585519]"
FENGYUN 1C DEB,[-0.0479188  -0.06693459  0.05677631],"[-1.2288199298300302, -0.163343405333695, 0.6401495418975033]"
FENGYUN 1C DEB,[-0.097615    0.00580578 -0.02091902],"[-1.326434926405472, -0.1575376282922707, 0.6192305219271088]"
FENGYUN 1C DEB,[-0.07335215 -0.06788003  0.00342977],"[-1.3997870803701968, -0.22541765623302307, 0.6226602909423598]"
FENGYUN 1C DEB,[-0.06732903  0.0098314   0.07328127],"[-1.467116113898224, -0.21558625668861842, 0.6959415629508344]"
FENGYUN 1C DEB,[-0.07643771 -0.0213505   0.0608394 ],"[-1.5435538231069421, -0.23693675848610557, 0.7567809637032986]"
FENGYUN 1C DEB,[-0.09853966  0.00707071  0.01548999],"[-1.6420934856769467, -0.2298660452699632, 0.7722709577383107]"
FENGYUN 1C DEB,[-0.07700966 -0.03602407  0.05264769],"[-1.719103141988786, -0.26589012018621555, 0.8249186439283097]"
FENGYUN 1C DEB,[-0.09087564 -0.02916518  0.0298498 ],"[-1.8099787835711851, -0.2950552963680016, 0.854768438990801]"
FENGYUN 1C DEB,[-0.0842099  -0.02166999  0.04938728],"[-0.7396219504245678, 0.7280223641521559, 0.44142975990828964]"
FENGYUN 1C DEB,[-0.08686395  0.0477435  -0.01323675],"[-0.8264859039818351, 0.775765865778111, 0.4281930071005449]"
FENGYUN 1C DEB,[-0.08027683  0.0595163  -0.00366605],"[-0.9067627368291711, 0.835282167464224, 0.4245269545083874]"
FENGYUN 1C DEB,[-0.04349759  0.0200584   0.08778166],"[-0.9502603245865967, 0.8553405640631883, 0.5123086187963451]"
FENGYUN 1C DEB,[-0.0721706   0.01259334  0.06806476],"[-1.0224309281310906, 0.8679338990944023, 0.580373381315692]"
FENGYUN 1C DEB,[-0.06626497  0.06965076 -0.02752681],"[-1.0886958970732772, 0.9375846621303275, 0.5528465743885449]"
FENGYUN 1C DEB,[-0.04435325  0.06330492  0.06344507],"[-1.1330491455381038, 1.000889577600718, 0.6162916453389669]"
FENGYUN 1C DEB,[-0.08963914  0.02445456  0.03697025],"[-1.2226882848200817, 1.0253441339531566, 0.6532618953028438]"
FENGYUN 1C DEB,[-0.065948    0.04511792  0.06012682],"[-1.2886362872514003, 1.0704620540411995, 0.7133887134645241]"
FENGYUN 1C DEB,[-0.08312739  0.03644195  0.04197405],"[-1.3717636788274952, 1.1069040069717155, 0.7553627630233247]"
FENGYUN 1C DEB,[-0.07781755  0.06039742  0.0172215 ],"[-1.4495812319034231, 1.1673014283889378, 0.7725842588766347]"
FENGYUN 1C DEB,[-0.05604599  0.08208416 -0.0110017 ],"[-0.5507258491816945, 0.10997270011342895, -0.5285505077659097]"
FENGYUN 1C DEB,[-0.06734947  0.0147497  -0.07243269],"[-0.618075322232132, 0.12472240357153816, -0.6009831987812672]"
FENGYUN 1C DEB,[-0.06796376  0.01334192 -0.07213128],"[-0.6860390785311683, 0.1380643223626229, -0.6731144751646594]"
FENGYUN 1C DEB,[ 0.00115847  0.06578428 -0.07530662],"[-0.684880609519957, 0.20384860308767355, -0.7484210908039097]"
FENGYUN 1C DEB,[-0.07518873  0.00348937 -0.06583676],"[-0.7600693387383068, 0.20733797304828624, -0.8142578532987927]"
FENGYUN 1C DEB,[-0.02433952 -0.06220019 -0.07442261],"[-0.7844088561561617, 0.14513778503098082, -0.8886804607677453]"
FENGYUN 1C DEB,[-0.05259954 -0.02958051 -0.07973884],"[-0.8370083926863207, 0.11555727462975034, -0.9684192979878552]"
FENGYUN 1C DEB,[-0.04807318 -0.01271969 -0.08675932],"[-0.8850815693070371, 0.10283758843520815, -1.0551786160620873]"
FENGYUN 1C DEB,[-0.01568717  0.06080092 -0.07782776],"[-0.9007687371739738, 0.16363851053030126, -1.1330063786966444]"
FENGYUN 1C DEB,[-0.04493598  0.0351574  -0.08212622],"[-0.9457047125844587, 0.19879591194416607, -1.215132593998049]"
FENGYUN 1C DEB,[-0.03462294  0.01963838 -0.0917365 ],"[-0.9803276484194844, 0.21843429488908617, -1.3068690983432243]"
FENGYUN 1C DEB,[-5.10897173e-02 -1.37241151e-06 -8.59641831e-02],"[-1.0314173657572803, 0.2184329224775716, -1.3928332814688762]"
FENGYUN 1C DEB,[-0.03312792  0.00613246 -0.09415378],"[-1.06454528670851, 0.22456538213217547, -1.486987058833535]"
FENGYUN 1C DEB,[-0.01000506 -0.07507455 -0.06529709],"[-0.09117979939689722, -0.6527997841720063, -0.501675809404819]"
FENGYUN 1C DEB,[-0.00864947 -0.07718055 -0.06299483],"[-0.09982927112273397, -0.7299803356906954, -0.5646706433686841]"
FENGYUN 1C DEB,[ 0.07139059 -0.05159545 -0.04734229],"[-0.028438677474250856, -0.7815757905111976, -0.612012930812181]"
FENGYUN 1C DEB,[-0.01748369 -0.09111312 -0.03731917],"[-0.045922372336165265, -0.872688906345426, -0.6493321019840325]"
FENGYUN 1C DEB,[-0.02239581 -0.09149258 -0.03357879],"[-0.06831817766965469, -0.9641814900344259, -0.6829108904281647]"
FENGYUN 1C DEB,[-0.03987052 -0.08604334 -0.03173145],"[-0.10818869629117821, -1.0502248342120053, -0.7146423364650124]"
FENGYUN 1C DEB,[ 0.00081691 -0.07936883 -0.06082698],"[-0.10737178893536038, -1.1295936661610793, -0.775469313846859]"
FENGYUN 1C DEB,[ 0.03480911 -0.02870237 -0.08924405],"[-0.0725626743922165, -1.1582960337659398, -0.8647133592426037]"
FENGYUN 1C DEB,[-0.00327536 -0.02933589 -0.09554411],"[-0.07583803902446552, -1.1876319240992728, -0.9602574722212508]"
FENGYUN 1C DEB,[-0.03693518 -0.07927702 -0.04848655],"[-0.11277322280019236, -1.2669089467565362, -1.0087440258011149]"
FENGYUN 1C DEB,[ 0.01681356 -0.07723361 -0.06125581],"[-0.09595966079450852, -1.3441425537013794, -1.0699998344315664]"
FENGYUN 1C DEB,[-0.02993335 -0.05613486 -0.07715486],"[-0.12589301141947373, -1.4002774156908397, -1.147154690336993]"
FENGYUN 1C DEB,[ 0.01387074 -0.06044649 -0.07844632],"[-0.11202227082181097, -1.4607239007263277, -1.225601009575864]"
FENGYUN 1C DEB,[-0.01400015  0.0989696   0.00300232],"[-0.14588577771466538, 0.9833825999342659, 0.08800790054037803]"
FENGYUN 1C DEB,[-0.01304     0.09900945  0.00520455],"[-0.15892578214462064, 1.0823920489147585, 0.09321244634630237]"
FENGYUN 1C DEB,[-0.00309256  0.08415329 -0.053932  ],"[-0.16201833974741225, 1.1665453342390937, 0.03928044604412127]"
FENGYUN 1C DEB,[0.0591211  0.06947971 0.04095442],"[-0.10289723821834866, 1.2360250488059472, 0.08023486726697242]"
FENGYUN 1C DEB,[0.03918108 0.08746531 0.02854229],"[-0.06371615420355284, 1.3234903595468437, 0.10877715295722391]"
FENGYUN 1C DEB,[-0.06993219  0.07072417  0.01037212],"[-0.13364834632131062, 1.3942145259456975, 0.11914926907652516]"
FENGYUN 1C DEB,[ 0.04198268  0.08575791 -0.02971592],"[-0.0916656645664006, 1.4799724333293756, 0.0894333515601764]"
FENGYUN 1C DEB,[0.05302455 0.07875562 0.03139984],"[-0.038641116337211234, 1.5587280517657034, 0.12083318993240216]"
FENGYUN 1C DEB,[0.02976127 0.09546366 0.00097811],"[-0.008879846695407478, 1.6541917104246637, 0.12181130278548177]"
FENGYUN 1C DEB,[ 0.00185168  0.09851111 -0.01709187],"[-0.007028166062333124, 1.7527028227941728, 0.10471943283058611]"
FENGYUN 1C DEB,[ 0.02436554  0.09540309 -0.01745197],"[0.017337376810501487, 1.848105910703616, 0.08726746624068252]"
FENGYUN 1C DEB,[-0.02921799  0.09562566 -0.00142901],"[-0.011880608946230772, 1.9437315727143152, 0.0858384549269073]"
FENGYUN 1C DEB,[-0.00789265  0.09926269  0.00919911],"[-0.019773254526505968, 2.0429942668417, 0.0950375690319408]"
FENGYUN 1C DEB,[-0.03101414  0.0409419  -0.08580142],"[-0.03645530119289496, 0.03149588794600514, -0.02791173968153681]"
FENGYUN 1C DEB,[-0.02674379  0.03444337 -0.08999124],"[-0.06319909398774108, 0.06593925423167879, -0.11790298406596156]"
FENGYUN 1C DEB,[0.08622067 0.05013653 0.0072335 ],"[0.023021580391395874, 0.11607578635875998, -0.11066948865385326]"
FENGYUN 1C DEB,[ 0.0729761  -0.01317407  0.06708899],"[0.09599768211579292, 0.10290171785144171, -0.04358049927351647]"
FENGYUN 1C DEB,[-0.00225264  0.0563607   0.08257359],"[0.09374504450818599, 0.15926241919442136, 0.03899308589714358]"
FENGYUN 1C DEB,[ 0.03832569 -0.0397237  -0.08338567],"[0.132070730663735, 0.11953872363031559, -0.04439258308402251]"
FENGYUN 1C DEB,[ 0.0400753  -0.02009504 -0.0893877 ],"[0.17214602767583695, 0.09944368803890867, -0.13378027862413533]"
FENGYUN 1C DEB,[ 0.07828429 -0.06109198  0.01180424],"[0.25043031929290205, 0.03835171119015502, -0.12197603994789429]"
FENGYUN 1C DEB,[ 0.06286767 -0.07762845 -0.00463471],"[0.3132979857542326, -0.039276737309583566, -0.12661074568076713]"
FENGYUN 1C DEB,[ 0.04537484  0.01342618 -0.08809575],"[0.35867282638355635, -0.0258505606547152, -0.21470649823613014]"
FENGYUN 1C DEB,[ 0.05344884 -0.01170448 -0.08370321],"[0.4121216666835582, -0.03755504437787673, -0.2984097032605445]"
FENGYUN 1C DEB,[ 0.08888902 -0.04575999 -0.00218308],"[0.5010106848341442, -0.08331503361693468, -0.3005927829810507]"
FENGYUN 1C DEB,[ 0.07240775 -0.00829908 -0.06847074],"[0.5734184385116163, -0.09161411690738827, -0.3690635243522425]"
FENGYUN 1C DEB,[ 0.09997794  0.00195486 -0.0007686 ],"[0.6733963749725692, -0.0896592556794129, -0.3698321195571709]"
FENGYUN 1C DEB,[ 0.08809851 -0.01132981 -0.04593786],"[0.7614948885583851, -0.10098906375177472, -0.41576998360213113]"
FENGYUN 1C DEB,[ 0.09940218  0.00366324 -0.01028531],"[0.860897067163134, -0.09732581930470557, -0.4260552900511697]"
FENGYUN 1C DEB,[ 0.0896883  -0.0107767  -0.04289372],"[0.9505853693513884, -0.10810252014238741, -0.4689490095173511]"
FENGYUN 1C DEB,[ 0.08837455 -0.01162346 -0.04533028],"[1.0389599180849016, -0.11972597866197264, -0.5142792902157032]"
FENGYUN 1C DEB,[ 0.04556111  0.04610144 -0.07615013],"[1.084521028397352, -0.07362453828709409, -0.5904294210262162]"
FENGYUN 1C DEB,[ 0.0780473   0.00776921 -0.06203433],"[1.1625683278947716, -0.06585532650057363, -0.6524637533703004]"
FENGYUN 1C DEB,[ 0.07501043  0.01370226 -0.06469686],"[1.237578753293321, -0.05215306773134278, -0.7171606171748908]"
FENGYUN 1C DEB,[ 0.09258808 -0.02678068 -0.02665036],"[1.330166837067941, -0.07893375070495569, -0.7438109785685151]"
FENGYUN 1C DEB,[ 0.08840908 -0.0214567  -0.04151439],"[1.4185759177928003, -0.10039045152030113, -0.7853253668634912]"
FENGYUN 1C DEB,[ 0.04472856 -0.03298622 -0.08313402],"[1.463304477416115, -0.13337667359418454, -0.8684593858167214]"
FENGYUN 1C DEB,[ 0.07041646 -0.0442571  -0.05552325],"[1.5337209407271117, -0.17763377230613409, -0.9239826323750038]"
FENGYUN 1C DEB,[ 0.06376199 -0.00408056 -0.07692696],"[1.5974829307844918, -0.18171433168321172, -1.000909595522477]"
FENGYUN 1C DEB,[ 0.07280027 -0.00472939 -0.0683941 ],"[1.6702832039202211, -0.18644372246918556, -1.0693036968336043]"
FENGYUN 1C DEB,[ 0.03131975 -0.0414089   0.08546564],"[0.31858205048615523, -0.43725399211758403, 0.9531269004619105]"
FENGYUN 1C DEB,[ 0.09472605 -0.01212993  0.02966211],"[0.4133080977976429, -0.4493839263135682, 0.9827890085653967]"
FENGYUN 1C DEB,[ 0.05091549 -0.06841019  0.052227  ],"[0.4642235881804413, -0.5177941140696163, 1.0350160039821485]"
FENGYUN 1C DEB,[ 0.04253988 -0.04529623  0.07834928],"[0.5067634646319302, -0.5630903450167968, 1.1133652884298815]"
FENGYUN 1C DEB,[-0.0046394  -0.07975096  0.06015198],"[0.5021240601952613, -0.6428413033693732, 1.1735172673525955]"
FENGYUN 1C DEB,[ 0.04357768 -0.07974168  0.04174026],"[0.5457017440815342, -0.7225829860434947, 1.2152575298267079]"
FENGYUN 1C DEB,[ 0.0514878  -0.02742265  0.08122195],"[0.5971895469657702, -0.7500056331007511, 1.2964794762607057]"
FENGYUN 1C DEB,[ 0.02825868 -0.00830242  0.0955642 ],"[0.6254482259307191, -0.7583080522350313, 1.3920436792850321]"
FENGYUN 1C DEB,[ 0.03113848 -0.0814845   0.04889448],"[0.6565867089327453, -0.8397925565343204, 1.4409381619536488]"
FENGYUN 1C DEB,[ 0.0487602  -0.05688876  0.06622773],"[0.7053469127235296, -0.8966813128898191, 1.5071658897314149]"
FENGYUN 1C DEB,[ 0.03001877 -0.06774435  0.06715338],"[0.7353656864453434, -0.9644256625101215, 1.574319268788323]"
FENGYUN 1C DEB,[0.08768299 0.03985658 0.02689137],"[0.07042068297255365, 0.04663378905548315, 0.06356288178612507]"
FENGYUN 1C DEB,[ 0.06260769 -0.01964535  0.07546084],"[0.1330283697426612, 0.02698843499339395, 0.1390237168005301]"
FENGYUN 1C DEB,[ 0.063415    0.04147195 -0.06525807],"[0.19644336675144103, 0.06846038814987014, 0.0737656502051774]"
FENGYUN 1C DEB,[0.02085711 0.03622028 0.09084642],"[0.21730047805500138, 0.10468066624892805, 0.16461207205269873]"
FENGYUN 1C DEB,[ 0.05986341 -0.04951357 -0.06296649],"[0.2771638839274237, 0.05516709874373754, 0.1016455788181015]"
FENGYUN 1C DEB,[ 0.06794824 -0.03254005 -0.06575851],"[0.34511212302599625, 0.022627047548635905, 0.035887067037318504]"
FENGYUN 1C DEB,[ 0.06736838 -0.07297509  0.01166776],"[0.41248050655824314, -0.05034804671844285, 0.04755482247540761]"
FENGYUN 1C DEB,[ 0.07591884  0.01324218 -0.06372577],"[0.4883993508797049, -0.03710586920338581, -0.016170947912665212]"
FENGYUN 1C DEB,[-0.00491996  0.01541382 -0.09868236],"[0.48347939367170834, -0.02169205363364008, -0.11485330859912907]"
FENGYUN 1C DEB,[ 0.07509312 -0.01085046 -0.06514055],"[0.558572511157407, -0.032542509263809485, -0.17999385909493607]"
FENGYUN 1C DEB,[ 0.08377958 -0.00152386 -0.0545771 ],"[0.6423520886082482, -0.03406637202897012, -0.2345709627596731]"
FENGYUN 1C DEB,[0.09593508 0.01267747 0.02521392],"[0.7382871711888334, -0.02138889706335754, -0.20935704678550157]"
FENGYUN 1C DEB,[ 0.09679102 -0.00241032 -0.02501378],"[0.8350781882026815, -0.02379922117565336, -0.2343708302477976]"
FENGYUN 1C DEB,[0.09515699 0.01737915 0.02535966],"[0.9302351797727971, -0.006420072199496533, -0.20901117456816531]"
FENGYUN 1C DEB,[ 0.09477893 -0.00228707 -0.0318076 ],"[1.025014110425115, -0.008707145900572163, -0.2408187774059933]"
FENGYUN 1C DEB,[ 9.82402652e-02  8.12782164e-05 -1.86773577e-02],"[1.1232543756054538, -0.00862586768417546, -0.2594961351192313]"
FENGYUN 1C DEB,[0.06654044 0.07464271 0.00091452],"[1.1897948115149872, 0.06601684150774292, -0.258581611494612]"
FENGYUN 1C DEB,[ 0.0936485   0.02472974 -0.02486763],"[1.2834433083009427, 0.09074658565426136, -0.2834492371186764]"
FENGYUN 1C DEB,[ 0.09247543  0.03656605 -0.010546  ],"[1.3759187421560757, 0.12731263649491473, -0.29399523442683495]"
FENGYUN 1C DEB,[ 0.08455302 -0.00273677 -0.05332257],"[1.4604717659838518, 0.12457586914979146, -0.3473178025015087]"
FENGYUN 1C DEB,[ 0.09871813 -0.0042053   0.0153963 ],"[1.5591898961277357, 0.120370565211374, -0.3319214977604114]"
FENGYUN 1C DEB,[ 0.08333718 -0.01526068 -0.05312274],"[1.6425270808250128, 0.10510988302735516, -0.3850442351335014]"
FENGYUN 1C DEB,[ 0.09777069 -0.0205482  -0.00432025],"[1.740297766536663, 0.08456168503720837, -0.3893644868427699]"
FENGYUN 1C DEB,[ 0.09684763 -0.01699984 -0.01820831],"[1.8371453944051828, 0.06756184638642165, -0.40757279434478455]"
FENGYUN 1C DEB,[ 0.08915951  0.02561843 -0.03734002],"[1.9263049072699927, 0.09318028124112314, -0.444912813912337]"
